Date;1COV;ADS;ALV;BAS;BAYN;BEI;BMW;CON;DAI;DB1;DBK;DPW;DTE;EOAN;FME;FRE;HEI;HEN3;IFX;LHA;LIN;MRK;MUV2;RWE;SAP;SIE;TKA;VNA;VOW3;WDI
2016-12-01;0,123641054;-0,0753333533;0,0476691433;0,0039608862;-0,0314457206;-0,042322086;0,0045112906;-0,0520625548;-0,0438246999;0,0721408536;0,1222531329;0,0341549648;-0,0070517126;-0,0762812872;-0,0133279216;0,0007425453;-0,0263888767;-0,0691421158;-0,0474164713;0,0384122919;0;0,0050037475;-0,0349689616;-0,1821625344;-0,0234811784;0,0182079735;0,0070754242;-0,0569915896;-0,0396982939;-0,0358950077
2017-01-01;0,063955346;0,0796683723;0,0458347684;0,0787818878;0,121807919;0,0520140536;0,1020458033;0,1044417369;0,1246794511;0,0523795657;0,1637291245;0,0590738489;0,0997632736;0,0838709677;0,0983762983;0,0991245155;0,052781679;0,0398899485;0,0497767071;0,0065762433;0;0,0503177955;0,0441261703;0,0063157895;0,0431297721;0,0894117647;0,0585480094;0,0254292594;0,0971475841;-0,0241050824
2017-02-01;0,0732120872;-0,0240401068;0,0060780357;0,0205714629;0,0372418236;0,0172242757;-0,0397327842;-0,0027173913;0,0009974352;0,0716049671;0,0819810958;-0,0008037293;-0,0049200492;0,0651785714;-0,0649689814;-0,0124206561;0,0136630423;-0,0066137565;0,0322187822;0,0102082483;0;0,028744306;-0,0207108711;0,0292887029;0,0367118194;0,053563689;0,0365043805;-0,0135265705;0,1028636723;0,098068063
2017-03-01;-0,0664942869;0,076975713;0,0524642289;-0,0090706044;0,0165856642;0,0583506058;0,0020039844;0,0509537112;-0,0149466619;-0,0168566459;0,0155814108;0,0489059846;0,0160692831;0,026823135;0,0503520812;0,0295283109;-0,0113623375;0,0510430528;-0,0047114252;0,1216653193;0;0,0171568627;0,0251500947;0,0991869919;0,0425882706;0,0139401807;0,0153682397;0,0773751576;-0,0355313412;-0,026726079
2017-04-01;0,1123077385;0,1365946685;0,0540785317;0,0537914127;0,042226208;0,0290055834;0,0115294471;0,0712989348;0,0050578904;0,06796598;-0,0553342904;-0,0119631602;0,0051702552;0,0189115646;0,0022767519;0,0041163857;-0,0057465014;0,0202702784;0,1378698225;0,0983783784;0;0,0332529831;0,0281571666;0,1634615385;0,0436695426;0,0416498254;-0,0311120454;0,0060606364;-0,0286927961;0,1972539772
2017-05-01;-0,0102352001;0,0279485756;0,00200634;-0,0406434424;0,0460359301;0,0217001561;0,0194231093;-0,005324327;-0,0165348807;0,0377684907;0,0373392532;0,0245265764;-0,0257186082;-0,0443316865;0,0278899427;-0,0160010441;-0,0367180199;0,0347681862;-0,0119604784;0,0393700787;0;0,0055970711;-0,0458242802;-0,0333757152;-0,0045410099;0,0217391532;-0,0516380994;0,0010542168;0,0616338193;0,0361238341
2017-06-01;-0,0697316677;-0,0715062231;-0,0191647937;-0,0620388449;0,0400562203;0,0485001226;-0,0472333132;-0,0345499075;-0,0536549546;0,0310517647;-0,0562614001;-0,0139393636;0,0677019255;0,0915187928;0,0406384914;0,0232494948;-0,0247058588;-0,002;0,0363158421;0,0946969697;0;0,0064934785;0,0014208582;0,189740217;0,0382317367;-0,0345744893;0,075497552;0,0472393246;-0,0779801152;0,0961077125
2017-07-01;-0,0491212408;-0,0131771596;0,0067075475;-0,0220475022;-0,0512079779;-0,0341442738;-0,0359238406;-0,042590712;-0,0148308814;-0,0011873921;0,0032051282;0,0222802083;-0,0767888844;0,0675883257;-0,00070794;-0,0082741924;0,030398021;-0,0308617074;-0,0581513937;0,1568626874;0;-0,0165898894;0,0136209367;-0,0212824765;-0,039857696;-0,0476190701;0,0789194673;0,0025858354;0,0018628912;-0,053180749
2017-08-01;0,0406003798;0,1507418042;0,0475086716;-0,0164513653;-0,0401388812;0,0010810595;-0,0310520425;0,0018426218;-0,0647640113;-0,0489570847;-0,0293929712;-0,0097700289;-0,0214240706;0,0076738609;-0,067296307;-0,0464839347;-0,038281387;-0,0086848965;-0,0175249933;-0,1026918795;0;-0,1316775576;0,0204366958;0,005648122;-0,0176508501;-0,0458677934;-0,0118297314;-0,0203467259;-0,0197098852;0,1489513206
2017-09-01;0,0031880824;-0,0229499595;-0,0027654867;0,0135051916;0,0032487038;-0,0308855298;0,002435521;-0,0026274303;0,0291750843;0,0114772955;-0,1092824226;0,06253798;-0,0209272376;0,1337458353;-0,0012657975;-0,0084722361;-0,0135118804;-0,0609094295;0,0655873801;0,1805555556;0;-0,0005397086;-0,0452674897;0,1825329963;-0,0199645399;-0,0467734443;0,0183559864;0,0415386561;-0,0337633149;0,1137066695
2017-10-01;0,1030568522;0,0229612355;0,053799206;0,1026894094;0,0713337179;0,0160463788;0,0997442877;0,1332982223;0,10166181;0,0258397478;0,0864745011;0,0845714;0,0394607037;0,0054575987;0,0523447008;-0,0376803759;0,0760117957;0,0270990219;0,104300793;0,1103528941;0;0,0247300329;0,0459770115;-0,0895274282;0,0525124372;0,0881417241;-0,0141065831;0,0158685016;0,0836278144;0,0744547875
2017-11-01;0,1443271388;-0,0141898863;0,0571052947;0,0486696136;-0,0190227048;0,0653652007;0,0246511977;0,0204555736;0,0647736883;-0,0196035597;-0,0469387755;0,0594046644;-0,031951914;0,0600208768;0,0171022283;0,0566229865;0,0136468124;0,0367647065;0,1217349757;0,1612630287;0;-0,0199177892;0,0673076923;0,1225873761;0,0631183118;0,0379958497;-0,0816772655;0,0533591404;0,1427536014;0,1073045147
2017-12-01;0,0519121663;-0,0798220349;-0,0099576796;-0,004863083;-0,0511258782;0,0315009062;-0,0392646264;0,0193621868;-0,0316666528;0,0609920262;0,1309778729;-0,0053462638;-0,0153594771;-0,0407680945;-0,0080521021;-0,1618679797;0,0123317571;-0,0488109979;-0,0388772989;0,0704379562;0;-0,0330107527;-0,0347490347;-0,1052509758;-0,0382320915;-0,0768302717;-0,0056264878;0,0379265112;0,1303107381;0,0533566713
2018-01-01;-0,0194893895;-0,0492036909;-0,0369625636;-0,0253904077;-0,0339066517;-0,0229540426;0,0256319147;0,0058100693;0,015490562;0,0191619282;0,0018933417;-0,00625;-0,0179223365;-0,0698080279;0,0478691912;0,0695266272;0,0086052411;-0,0320175614;-0,0121133896;0,047391715;0;-0,0020015568;-0,036;-0,1171123925;-0,017246809;0,0122004532;0,0539717084;0,0466557363;-0,0661991753;0,0315894366
2018-02-01;0,0833429976;0,1235417873;0,0678851175;0,0336821895;0,0182713734;-0,0194075788;0,0611539431;0,0788713609;0,0206214539;0,074380132;-0,0605354331;-0,0357232201;-0,0385265292;-0,0600375235;0,0640237305;0,0865221607;-0,0282548809;0,0258269058;0,0304358235;-0,0572916685;0;-0,0181615265;0,0556016763;-0,0452941176;-0,0208667422;0,0302195604;0,0526533141;-0,0347909648;0,0725143119;0,0852046846
2018-03-01;0,0098713093;-0,0324813946;-0,064058709;-0,0888959171;-0,1000969208;-0,0866666667;-0,0622964734;-0,0733113788;-0,0269859389;0,0552884615;-0,1216306826;-0,0224367585;-0,0706502636;-0,0213690267;-0,0674518615;-0,0579915018;-0,0570125447;-0,0375441706;-0,0518487866;-0,0479972047;0;-0,0728552631;-0,0385220434;0,0092420826;-0,0678688415;-0,0974427846;-0,1239701844;-0,061076419;-0,1003808962;-0,0273267525
